species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
f__Carnobacteriaceae,4,-2.275232483912677,0.11225518787699315,-20.26839495744133,0.0,34.86421085048298,1.3014367561403617e-07,91.39518742338481,-2.434395822041054,1.955333552655065,0.0,True
s__Bacteroides_graminisolvens,4,-3.4083581759498216,0.11227147811266149,-30.358183870436118,0.0,136.9299530516848,0.0,97.80909878873058,-3.752518544710623,3.729226065602687,0.0,True
o__Betaproteobacteria_unclassified,4,-3.0126200316857252,0.11434636306693664,-26.34644382980666,0.0,74.66068499174335,4.440892098500626e-16,95.98182095391735,-4.45515379833048,5.930200815699784,0.0,True
g__Comamonas,4,-1.3519878622537704,0.11170093172068238,-12.103639973519025,0.0,65.88931519421746,3.241851231905457e-14,95.44690972859999,-1.5288570892368814,4.967694184168387,0.0,True
t__SGB7467,4,-1.575388430713294,0.11209704690453984,-14.053790659221121,0.0,26.13317647389605,8.944255056375638e-06,88.52033925919169,-1.7168072689561433,1.1535861440173507,0.0,True
c__Actinomycetia,4,-4.803875630710898,0.11232350024840798,-42.768215200620816,0.0,253.05305754782705,0.0,98.81447786915872,-5.25552841397387,5.321934379386147,0.0,True
f__Clostridiaceae,4,-1.5704238489136326,0.11211337310045971,-14.007462316796472,0.0,43.851126147864775,1.6231727073545699e-09,93.15867056667123,-4.008959611146862,5.17283696516986,0.0,True
t__SGB89157,4,1.4315035331492587,0.11088304952573044,12.910030336215437,0.0,30.291921250895506,1.198071181152116e-06,90.09636934167287,-1.7786021676483132,1.6114574903811905,0.0,True
t__SGB103154,4,1.4550087629525637,0.11283652543649787,12.894838416230863,0.0,16.597882138895137,0.0008548926136583423,81.92540485047871,-0.500739786903162,1.5710570879444368,0.0,True
g__GGB4684,4,1.2434907231955294,0.11033127305489167,11.270519126312191,0.0,26.451224610572154,7.672335511355044e-06,88.65837009753815,-1.5454621576268521,1.4259644139375967,0.0,True
t__SGB2318,4,-1.5767698179062255,0.10782949735620202,-14.622805972076012,0.0,27.917127215912814,3.78045343374378e-06,89.253908624631,-2.0389233995602725,1.1091529130709912,0.0,True
p__Bacteria_unclassified,4,-1.175754969277025,0.11258137775489364,-10.443600822125468,0.0,10.734151708594,0.013253803581153467,72.05182038187394,-1.2648316664278163,0.7860647822865926,0.0,True
f__Desulfovibrionaceae,4,-0.9186673204833766,0.10881163498605348,-8.442730601383973,0.0,10.685290524739107,0.013555232856482413,71.92402028700808,-1.0281898719402323,1.7742085539352512,0.0,True
o__OFGB1776,4,1.156522958379587,0.11040989948692244,10.474812165883478,0.0,25.407601447609544,1.2688592513798724e-05,88.19251000065474,-1.6416374303456525,1.329789141218796,0.0,True
s__Acidovorax_temperans,4,-3.451907410799017,0.11074866961470134,-31.16883862179409,0.0,166.51404236990246,0.0,98.1983501467488,-3.911987077313812,1.6871284406609925,0.0,True
o__OFGB8911,4,0.9297306039967791,0.10805251245943925,8.604433000535561,0.0,9.828336726027127,0.020083138154730396,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True
t__SGB9333,4,1.2239571593597558,0.11101882360543147,11.0247714721765,0.0,29.566422991198518,1.7024695918577137e-06,89.85335493274566,-2.5410018858062937,1.3799472231661056,0.0,True
s__Klebsiella_pneumoniae,4,1.0550704906607646,0.11162486113024991,9.45193104813498,0.0,21.699999174843825,7.531111139957858e-05,86.17511468167329,-2.5582909015757247,1.183577430496447,0.0,True
t__SGB30365,4,1.0120143682438105,0.10905996681665552,9.2794303701297,0.0,23.896409360545242,2.625531453370744e-05,87.44581265437633,-0.9847232694070538,1.4174419051468938,0.0,True
g__Simplicispira,4,-1.5450454911604097,0.11307403382819574,-13.664016740642206,0.0,39.35632367844988,1.4587214325345599e-08,92.37733680485331,-3.4999503803967715,2.227655750135926,0.0,True
f__FGB81136,4,0.9518585918025928,0.10766045835355142,8.841301684567773,0.0,13.90269177719735,0.0030406429690743586,78.42144493974553,-1.5662478662990107,1.068208102485753,0.0,True
s__Dechloromonas_sp_H13,4,1.097756650962048,0.11226311280764018,9.77842697844148,0.0,24.67163078470255,1.808431018390788e-05,87.84028495651724,-1.4959445556619677,3.126830930589496,0.0,True
g__Fluviibacter,4,-1.8331427906443396,0.11334009096951399,-16.173824945468017,0.0,102.75570474115172,0.0,97.08045406573076,-2.8121036801481387,7.023423465511953,0.0,True
s__Phocaeicola_plebeius,4,1.0484238888727992,0.11093732748316364,9.450596229947156,0.0,19.38393149533465,0.0002277072743112063,84.52326350450608,-2.0240454790500424,1.1826248930736707,0.0,True
s__Alistipes_putredinis,4,-1.5767698179062255,0.10782949735620202,-14.622805972076012,0.0,27.917127215912814,3.78045343374378e-06,89.253908624631,-2.0389233995602725,1.1091529130709912,0.0,True
o__Hyphomicrobiales,4,-4.197058151831156,0.11393066846687036,-36.83870382145268,0.0,134.87481876206624,0.0,97.77571526876909,-4.468629047739407,2.930090664034905,0.0,True
g__GGB26683,4,0.9297306039967791,0.10805251245943925,8.604433000535561,0.0,9.828336726027127,0.020083138154730396,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True
g__Mediterraneibacter,4,-1.0351269756467885,0.10869405187825214,-9.523308384954044,0.0,12.884271665549145,0.004893677286359588,76.71579676465836,-1.260089881153638,1.0281419184027452,0.0,True
g__GGB24874,4,1.225052164121766,0.11128089303880148,11.008647852013679,0.0,19.40152307200742,0.0002258063785419706,84.5372964335547,-0.8895256901954292,1.8993556129095837,0.0,True
c__CFGB8911,4,0.9297306039967791,0.10805251245943925,8.604433000535561,0.0,9.828336726027127,0.020083138154730396,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True
t__SGB10068,4,-1.4162725426691765,0.10931059482434137,-12.956406878446515,0.0,29.023661272707457,2.2139372839458105e-06,89.66360593926493,-1.5427312361115226,3.7004999107041714,0.0,True
t__SGB59041,4,-2.383707541869508,0.11322619983944543,-21.052614547247913,0.0,42.97183255929123,2.4951252175497984e-09,93.01868265482815,-2.552492548295395,2.825022535145754,0.0,True
f__Aestuariivirgaceae,4,-0.976103622286887,0.11416548330704532,-8.549901371342507,0.0,12.033421333650397,0.007269545614754014,75.06943439592891,-2.3231516281389357,1.752177391622813,0.0,True
c__Verrucomicrobiae,4,-1.2156978811818968,0.11103357482626441,-10.9489213788182,0.0,18.87083774551668,0.00029073598788642574,84.10245458915708,-1.3528196342231378,0.799025223387455,0.0,True
t__SGB21982,4,-0.9841133987324512,0.09288836988702931,-10.594581430692866,0.0,94.03001864309306,0.0,96.8095295063303,-3.3164753676693137,2.2137445160398928,0.0,True
t__SGB36777,4,1.225052164121766,0.11128089303880148,11.008647852013679,0.0,19.40152307200742,0.0002258063785419706,84.5372964335547,-0.8895256901954292,1.8993556129095837,0.0,True
f__Xanthomonadaceae,4,-2.7545571736873966,0.11253806808804878,-24.476670165798968,0.0,75.18697447741773,3.3306690738754696e-16,96.00994717389374,-2.984117010707077,3.3189369834013047,0.0,True
f__Legionellaceae,4,1.5950386806273924,0.11128716843479551,14.332637832922712,0.0,32.00758244094232,5.214245044626864e-07,90.62722089200162,-1.2676346562913965,1.7850431158418334,0.0,True
g__Candidatus_Chazhemtobacterium,4,1.7364660456821195,0.11182209431497249,15.528827789532953,0.0,34.894783322281974,1.2822260586631273e-07,91.40272638379055,-1.8460058627961353,1.9200652835978933,0.0,True
s__Succinispira_mobilis,4,1.0120143682438105,0.10905996681665552,9.2794303701297,0.0,23.896409360545242,2.625531453370744e-05,87.44581265437633,-0.9847232694070538,1.4174419051468938,0.0,True
g__Acidovorax,4,-4.122426646296689,0.11081569111843119,-37.20074842010379,0.0,256.9305195802541,0.0,98.83236915376924,-4.690013827591406,2.060651618071576,0.0,True
g__Akkermansia,4,-1.0706332741274305,0.11112126223657462,-9.634819228817586,0.0,13.586102914890482,0.003526261840933631,77.91861272659744,-1.188699857290227,0.618158530440982,0.0,True
g__GGB75638,4,1.1924487061808244,0.1109944303644309,10.743320203235664,0.0,25.209774862627526,1.3957063379810286e-05,88.09985405919916,-0.928183462472054,2.3759493341561972,0.0,True
o__Rhodocyclales,4,-2.835467449372462,0.281048391154385,-10.088894078795448,0.0,233.79289689696884,0.0,98.71681302562324,-6.824157687273428,2.7662823505478107,0.0,True
s__Acetobacterium_fimetarium,4,1.0241911437200446,0.10968266718592656,9.337766576955188,0.0,27.736185582788767,4.125863260484586e-06,89.18380470506514,-1.1034586726243447,1.222458079926433,0.0,True
t__SGB1903,4,1.1751256513685677,0.11072676025250576,10.61284235796987,0.0,25.873456349711724,1.0137316530878238e-05,88.40510537343255,-2.658883422388479,1.3274760145728601,0.0,True
t__SGB1836,4,-2.0998909785599422,0.1100387840708835,-19.08318958892947,0.0,35.88527309506807,7.91849942283207e-08,91.6400246082778,-2.3273506029838247,1.16448029968415,0.0,True
s__Arcobacter_suis,4,-1.1772749017208854,0.10966591399340607,-10.735103177015166,0.0,49.66602040953111,9.410761059314154e-11,93.95965294730098,-3.4619770360498014,2.319955987500343,0.0,True
t__SGB1934,4,-1.1930785426419004,0.10748583419141122,-11.09986773249823,0.0,19.436170688182624,0.00022210851416715194,84.5648608044792,-1.6130258837355083,0.7181239876898494,0.0,True
g__Bacteroides,4,-4.504218831629124,0.11267321204396062,-39.97595124803716,0.0,194.17541324474678,0.0,98.4550052193175,-4.903189964284899,2.6452782727442976,0.0,True
s__GGB44404_SGB88286,4,1.060752248139076,0.11067911256812178,9.584032827207524,0.0,13.384386962057315,0.00387496168183743,77.58582437503831,-0.9390623529184863,1.300949511892349,0.0,True
f__Microbacteriaceae,4,-1.0588262461109506,0.11272082987691405,-9.3933503440947,0.0,46.51000187375673,4.418229115898953e-10,93.54977450195987,-2.227960953973127,6.029640165382395,0.0,True
o__OFGB7461,4,-1.5584356320111166,0.11262698005892186,-13.837143029101965,0.0,46.2688622146504,4.971965061884021e-10,93.51615782968165,-4.269859037790439,2.7349600656757556,0.0,True
s__Bilophila_wadsworthia,4,1.0062970188811486,0.11165736312413256,9.012365962488479,0.0,16.703726410532873,0.0008131419643027105,82.03993572291576,-1.9333732686429992,1.1252549687786897,0.0,True
s__Blautia_wexlerae,4,-1.0001945338839675,0.10803214110286807,-9.258305201334327,0.0,13.348231223149572,0.003940976421047515,77.52511213023371,-1.2902349021839,1.2048530482486848,0.0,True
s__Aeromonas_veronii,4,0.9251898619103621,0.10729860344280787,8.622571331075202,0.0,17.479610064086163,0.000563059714720926,82.83714574294858,-0.8781031078023533,1.0653017758889107,0.0,True
s__Pseudomonas_anguilliseptica,4,1.4315035331492587,0.11088304952573044,12.910030336215437,0.0,30.291921250895506,1.198071181152116e-06,90.09636934167287,-1.7786021676483132,1.6114574903811905,0.0,True
