species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
s__Fluviibacter_phosphoraccumulans,5,-1.7761391902019712,0.10528573431443532,-16.869704160466227,0.0,127.39945849463166,0.0,96.86026922934798,-2.6995630835482256,6.800222408107412,0.0,True
s__Eubacterium_rectale,5,-1.425239130094178,0.09741268317387292,-14.6309400753314,0.0,49.657173759496956,4.257771912818953e-10,91.94476910954886,-2.015135857135246,2.998200564822096,0.0,True
s__Escherichia_coli,5,-0.7901810318334297,0.0733112417713103,-10.778442879174635,0.0,39.01129773129372,6.929116258547197e-08,89.74656001563538,-0.9964527421094828,4.7110850927602295,0.0,True
f__FGB39929,5,-1.267221084016281,0.07978385691708278,-15.883176534487042,0.0,57.581418376084194,9.341860618405917e-12,93.0533145712483,-1.5777047091880045,4.024685800462429,0.0,True
t__SGB9369,5,-0.9197005217187239,0.10163595274990006,-9.048968370295798,0.0,70.38309837595273,1.887379141862766e-14,94.3168174003453,-3.490401401202823,2.1865641434779146,0.0,True
f__Coxiellaceae,5,-1.0859786599773527,0.1012102779765957,-10.729924684412774,0.0,82.55660019812505,0.0,95.15483923708035,-3.6969036643416016,1.9800618803391357,0.0,True
o__OFGB39929,5,-1.267221084016281,0.07978385691708278,-15.883176534487042,0.0,57.581418376084194,9.341860618405917e-12,93.0533145712483,-1.5777047091880045,4.024685800462429,0.0,True
o__Micrococcales,5,-3.264497205359936,0.10530823771606572,-30.999447680073633,0.0,226.33162332271706,0.0,98.2326817873362,-3.728068961140221,4.8766019290909295,0.0,True
o__Legionellales,5,-1.2464929279612884,0.1022376868680329,-12.192108078210392,0.0,60.87075326931698,1.903255331114906e-12,93.42869968718414,-3.257280848171624,1.8465767321039506,0.0,True
o__Lactobacillales,5,-2.377740508953903,0.10355210478935893,-22.961778650376996,0.0,156.88181513281359,0.0,97.45030996956935,-2.737904728751373,5.8026950674879565,0.0,True
s__Bacteroides_graminisolvens,5,-1.8068627330440974,0.09711705381757123,-18.604999451879838,0.0,145.45349815613017,0.0,97.24998019937176,-2.1251432076549923,5.171333623512341,0.0,True
s__Candidatus_Rickettsiella_isopodorum,5,-0.9197005217187239,0.10163595274990006,-9.048968370295798,0.0,70.38309837595273,1.887379141862766e-14,94.3168174003453,-3.490401401202823,2.1865641434779146,0.0,True
g__Lachnospiraceae_unclassified,5,-1.595907063039532,0.09734713788809585,-16.39398032301768,0.0,74.60424509862365,2.4424906541753444e-15,94.63837480734217,-2.2128610914332825,4.535210680414847,0.0,True
t__SGB7467,5,-0.9097228620243987,0.09799422530373442,-9.283433377882222,0.0,26.56592265588416,2.432772244254089e-05,84.94311659409266,-1.0600251335838995,1.8714178401589097,0.0,True
o__Neisseriales,5,-1.7084255261839256,0.1022544362945459,-16.707593216423124,0.0,236.88823850885197,0.0,98.31144001695529,-2.264365839854531,4.270265758641824,0.0,True
g__Legionella,5,0.833096840182609,0.09133545246591619,9.121286616426378,0.0,33.60450201249583,8.98152379025241e-07,88.09683298234089,-2.219416110887072,1.0185294403921357,0.0,True
t__SGB89157,5,0.7461318895510834,0.07893962843674929,9.451930599710446,0.0,34.08019028247547,7.17496079993829e-07,88.2629763306901,-2.5546907063975706,1.020636730777912,0.0,True
f__Enterobacteriaceae,5,-1.2799099610887603,0.09755555121215778,-13.119806563393725,0.0,63.5304563154578,5.24691401437849e-13,93.70380722572152,-1.4438203438245718,6.096530543891216,0.0,True
f__Cytophagaceae,5,-1.167003295475333,0.1045944914519581,-11.157406850736075,0.0,137.98923401136832,0.0,97.10122312899392,-4.777797286229829,8.30873629207246,0.0,True
f__Chromobacteriaceae,5,-1.1830116672513526,0.09966377675490382,-11.870026460673378,0.0,176.8204312412434,0.0,97.73781798182438,-1.6229708521673265,4.738044276238732,0.0,True
f__Clostridiaceae,5,-0.8167830640879599,0.08377948919640313,-9.749200811826226,0.0,52.46798968160407,1.1011136447081071e-10,92.37630405839154,-3.2822503714753264,6.235287858845852,0.0,True
f__Comamonadaceae,5,-8.202615686921646,0.10603864593729485,-77.35496445109456,0.0,676.7771493321766,0.0,99.4089634964852,-9.033015726932243,2.484431240724332,0.0,True
t__SGB2534,5,-2.186950786106175,0.10436560251404485,-20.95470857662964,0.0,84.37828567622401,0.0,95.25944386290475,-2.504016616541301,1.6981765914831044,0.0,True
t__SGB2318,5,-0.8604034698664434,0.09150486713230094,-9.402816449341891,0.0,29.41144916521918,6.448265915448559e-06,86.399854092432,-1.5049546991572529,1.889438953389304,0.0,True
t__SGB22471,5,-1.3985059552230685,0.10226569915445628,-13.6752202037053,0.0,71.71908200065495,9.880984919163893e-15,94.42268377059891,-3.3439216842347985,3.512039282440792,0.0,True
c__Negativicutes,5,-1.145539685264102,0.08254663579036725,-13.877484821710691,0.0,47.171610511806506,1.404427574236422e-09,91.52032343903363,-1.3182212663948814,4.496903859164744,0.0,True
t__SGB30622,5,-1.1512289192892955,0.10499017825781791,-10.965110626465398,0.0,94.35586697239286,0.0,95.76072995951557,-4.308769159893523,7.419166151644601,0.0,True
c__Methanomicrobia,5,-1.382154838981913,0.15188432165551488,-9.100049458144499,0.0,30.807925107679186,3.350370473720332e-06,87.01632782467729,-1.9052977636264632,2.9243335137438993,0.0,True
t__SGB9956,5,-0.9396032753998257,0.07948700949802322,-11.8208406799251,0.0,37.4968150561797,1.4229909783836092e-07,89.33242731680814,-1.2335523250820435,3.515271980822684,0.0,True
c__Alphaproteobacteria,5,-8.382086684835707,0.10700293933727202,-78.33510683678948,0.0,532.1968969322179,0.0,99.24839847374956,-9.040415626698108,1.9385034089301705,0.0,True
t__SGB9957,5,-1.7325941593986909,0.1015924716644029,-17.054355810163603,0.0,68.99875916009765,3.697042672001771e-14,94.20279429849049,-1.9708856798768073,2.867838034134736,0.0,True
c__Actinomycetia,5,-7.357661425607787,0.10613159093424697,-69.325837489482,0.0,463.04703565934443,0.0,99.13615687134153,-7.996428586334919,2.991764272885553,0.0,True
t__SGB65296,5,-0.8275958595152827,0.07958898438852169,-10.398371908796948,0.0,56.173226893451194,1.84430248850731e-11,92.87916998682103,-3.263006690008895,3.755588411362535,0.0,True
c__Epsilonproteobacteria,5,2.7716045637448596,0.14737234580498573,18.806815814769326,0.0,367.5631459120259,0.0,98.911751614794,-3.5186361185264348,5.086847026136692,0.0,True
c__Deltaproteobacteria,5,-2.47860419105944,0.10297728399946411,-24.069426720094295,0.0,106.66164841117245,0.0,96.24982356865488,-2.754792852682465,4.160083493875599,0.0,True
c__Cyanobacteria_unclassified,5,-2.3494319040918796,0.107736423369738,-21.807220163870873,0.0,66.05449393470977,1.5432100042289676e-13,93.94439384555164,-4.507167749417045,2.4531175480842213,0.0,True
c__CFGB39929,5,-1.267221084016281,0.07978385691708278,-15.883176534487042,0.0,57.581418376084194,9.341860618405917e-12,93.0533145712483,-1.5777047091880045,4.024685800462429,0.0,True
c__Coriobacteriia,5,-0.7287472003272508,0.0819919356370832,-8.888035081314193,0.0,69.87189911364821,2.4202861936828413e-14,94.27523789858078,-2.894322397293389,5.929098135461762,0.0,True
g__GGB4684,5,0.6501657200796527,0.07876006308152728,8.255017767147336,2.220446049250313e-16,29.15147315469758,7.28260287774507e-06,86.27856651095033,-2.233536124390117,0.9231582263203094,9.040387486233419e-16,True
t__SGB6478,5,0.6501657200796527,0.07876006308152728,8.255017767147336,2.220446049250313e-16,29.15147315469758,7.28260287774507e-06,86.27856651095033,-2.233536124390117,0.9231582263203094,9.040387486233419e-16,True
p__Euryarchaeota,5,-1.479823321964776,0.1809142020181516,-8.179696814605531,2.220446049250313e-16,74.66370784529764,2.3314683517128287e-15,94.64264484655925,-2.093165540190972,5.6922354555479115,9.040387486233419e-16,True
f__Erysipelotrichaceae,5,-0.630590650970217,0.07620575499592416,-8.274842903976792,2.220446049250313e-16,76.54765699780546,8.881784197001252e-16,94.77449714742454,-2.9061799363796212,6.697503729767238,9.040387486233419e-16,True
s__GGB4684_SGB6478,5,0.6501657200796527,0.07876006308152728,8.255017767147336,2.220446049250313e-16,29.15147315469758,7.28260287774507e-06,86.27856651095033,-2.233536124390117,0.9231582263203094,9.040387486233419e-16,True
f__Tannerellaceae,5,-0.7680301463670007,0.0943209109489588,-8.14273461356428,4.440892098500626e-16,22.49866184357166,0.0001594373337300281,82.22116485055362,-1.345334938746687,1.43018430841673,1.7868059972790754e-15,True
g__Parabacteroides,5,-0.7680301463670007,0.0943209109489588,-8.14273461356428,4.440892098500626e-16,22.49866184357166,0.0001594373337300281,82.22116485055362,-1.345334938746687,1.43018430841673,1.7868059972790754e-15,True
f__FGB2403,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
t__SGB9333,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
c__CFGB2403,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
s__GGB6601_SGB9333,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
g__GGB6601,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
o__OFGB2403,5,0.6369370820901346,0.07900534172853048,8.06194958663312,6.661338147750939e-16,34.0386864604894,7.316984032001983e-07,88.24866522201724,-3.2072411651116575,0.8989757230067194,2.5888382346941152e-15,True
f__FGB1765,5,-0.6036154478087554,0.07507206812194993,-8.040479807059791,8.881784197001252e-16,48.59196921750358,7.102962662486334e-10,91.76818708026524,-1.5843899331217166,3.9375238432583197,3.3939331791893055e-15,True
c__CFGB1765,5,-0.6036154478087554,0.07507206812194993,-8.040479807059791,8.881784197001252e-16,48.59196921750358,7.102962662486334e-10,91.76818708026524,-1.5843899331217166,3.9375238432583197,3.3939331791893055e-15,True
o__OFGB1765,5,-0.6036154478087554,0.07507206812194993,-8.040479807059791,8.881784197001252e-16,48.59196921750358,7.102962662486334e-10,91.76818708026524,-1.5843899331217166,3.9375238432583197,3.3939331791893055e-15,True
g__Streptococcus,5,-0.7726261157614945,0.09664917669005751,-7.994130340491313,1.3322676295501878e-15,24.06586257441421,7.748300337961922e-05,83.37894605841957,-0.9217864950769181,3.265184997746185,5.062616992290714e-15,True
