sample_alias,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cohort
Chu_2017_sludge.SI1,26.865015549472876,2.7473038571426396,9.229646387619656,-2.3612190152330492,10.27637150404027,-0.5367726217516724,0.1417495367072027,-11.12533791286876,0.3504500076487019,-0.930142195021277,Chu_2017_sludge
Chu_2017_sludge.SI2,26.954000501171233,-1.164136822528155,1.6366908899971306,-6.776514217230491,4.886986122349488,-1.3492938402503278,1.9724263778224085,-8.13931986885828,1.2944315307725118,-1.8868700631403965,Chu_2017_sludge
Chu_2017_sludge.SI3,26.102033599902335,6.373031754919941,9.79179274275463,-3.9105895461934037,9.495788418527711,-2.8781386495123398,1.7133061777642467,-13.010892476419547,0.6200516673992561,-0.46399331451211345,Chu_2017_sludge
Chu_2017_sludge.SIP,27.26715402823434,-5.612346532409502,-4.644003778667208,-4.892608822815852,-1.4156255313781283,-2.0553191928279326,-0.5734590660138056,-4.642224901001177,4.351145336241241,-2.8604876970054733,Chu_2017_sludge
Chu_2017_sludge.S_AS1,-15.899837576053484,4.346930592225748,-2.502029512883687,6.992035855071388,5.493189576627705,-10.987817576147117,-5.0995140298076995,-3.211427669177607,-9.485952304599977,6.710277167862129,Chu_2017_sludge
Chu_2017_sludge.S_AS2,-15.436198327749349,4.499692375982488,-2.7353309747271584,6.961099637324304,5.686196827960817,-10.831630417156347,-5.309021692459808,-2.850887844813498,-9.28191532767167,5.802338755093132,Chu_2017_sludge
Chu_2017_sludge.S_AS3,-16.458646376647426,4.324191308403232,-2.3883694608531987,7.286108412666913,5.219521577053032,-10.61552725702409,-5.67225118206132,-3.371483111806319,-9.001552104013525,6.882324988042844,Chu_2017_sludge
Chu_2017_sludge.S_FCW1,5.99106912051775,21.861554934142987,17.940307297507285,-0.25536943014502633,0.9730472208216439,0.8272831130836783,3.9147324495216735,0.8600880289382569,7.96328112459879,1.300015565221187,Chu_2017_sludge
Chu_2017_sludge.S_FCW2,11.91965034644984,17.90007493096985,15.576136047228351,-1.6828845896773088,4.395612968962486,-0.13389458864370388,5.817078613803708,1.9339405474489235,7.08984611364263,-0.33602156182312826,Chu_2017_sludge
Chu_2017_sludge.S_FCW3,10.32427186384344,19.75502763650806,16.386365057003093,-1.6401261642819145,2.212384869680233,0.01971857639740678,5.332974356057466,2.540843683935987,8.786440002439385,-0.5419527716874145,Chu_2017_sludge
Chu_2017_sludge.S_FCWP,-13.26829892185293,21.820306666648897,3.385101172200182,-1.0929476424195246,-16.965683777032798,-2.3090998553211284,-8.412320244886965,-3.939546132224348,-1.8853391335752598,4.650523447556797,Chu_2017_sludge
Lekunberri_2018_river_wastewater.DOWN1,-7.0416615819884605,4.6677011149798,-1.910593415339932,0.3325475223121145,-9.68343262254382,-4.84404804251943,15.87563969426209,0.49119675825973175,-3.7563934958112166,0.39582076238138714,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.DOWN2,-3.7053568804992834,1.957404167789214,0.2031660543610634,1.0818549303314466,-7.582697927248676,-3.381465398291098,12.09023073793176,-0.0472862229817006,-4.832096840650148,0.5441058780593073,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.DOWN3,-6.023845926875771,3.120307074212004,-0.6439428282914589,1.7826496842566666,-8.792452140101643,-3.046633246730171,17.87082374676809,0.35146046985358886,-4.779641837837828,0.1972182112789711,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.DOWN4,-4.975672115841276,2.398663688386643,-0.4340550788942779,-0.30891532466042576,-8.533450224336026,-3.5519195934576797,14.702952351128937,-1.208946147139072,-6.058364428857079,-1.1208693240494245,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.DOWN5,-3.405511338345917,-0.04217848981610749,2.3552550578565774,0.9641491985487363,-3.595200389756466,-2.8061596832889,10.06214536005564,-0.3539618254149427,-3.8427569157006594,-1.2735050326459227,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.DOWN6,-3.376498584684246,3.256377702371751,0.8477046689233747,-1.0192225538715902,-8.479732912147515,-3.2215953008195646,16.78061162716334,-2.7852718501225207,-7.925043722193846,0.9448567557268421,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP1,-8.173489523650597,1.4325301921807274,-6.604045290898095,-1.6285896208765644,6.6174421732515345,12.694431863124015,2.844018140169975,-4.992837236654221,-3.4903423712880395,-3.5792041139780664,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP2,-7.663398833124653,1.9980235295796624,-4.938263559612157,-0.6940315168721811,6.64426847884738,12.063850762913745,2.2976078265555038,-2.9938122247233756,-3.4659031419573525,-2.9453699474604376,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP3,-7.643606776125072,1.1549446892368886,-4.69974447394015,-0.6304526605965216,6.67953221228196,12.493760125699858,2.989399458282169,-3.410147829228434,-2.983947538223542,-1.9178979095569444,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP4,-8.939696809377773,0.92408080180519,-4.661480645202254,-0.0868477730737903,6.91044410856114,13.492585131116414,1.7671420803643954,-4.044949746653489,-3.2322805430804076,-1.8676926279720096,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP5,-8.438321307586738,2.178883644093166,-6.1371471430145785,-0.35969886141586915,6.72972392617206,12.601651090265184,1.5653056230983662,-4.009667350189709,-4.314539890402317,-3.2755012396925136,Lekunberri_2018_river_wastewater
Lekunberri_2018_river_wastewater.UP6,-8.712434875523368,0.8980853837759168,-4.4283803788160725,-0.07798593030082729,6.785943341472261,13.092150914746624,2.032408275632497,-4.0200822870680275,-3.3439281012574398,-1.715297472210485,Lekunberri_2018_river_wastewater
Rowe_2017_hospital_wastewater.sample_AH1,26.770263901444395,-5.693121004828663,1.1863430359084453,6.198034190995772,-10.207732505773105,4.070058690012354,-5.477940968675989,1.925340199868128,-5.393649902809834,-2.27098926711324,Rowe_2017_hospital_wastewater
Rowe_2017_hospital_wastewater.sample_AH2,30.437003447855503,-8.932486033184679,3.2436052447586055,3.687738197984299,-9.985287426101674,4.059163177799433,-0.3945767948686299,2.16759397721085,-6.574298610143898,-1.017217820632357,Rowe_2017_hospital_wastewater
