species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__GGB89594_SGB125941,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB49317_SGB56530,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB66014_SGB133091,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB89586_SGB125898,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Bradyrhizobium_diazoefficiens,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Brevundimonas_mediterranea,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB43953_SGB61318,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB32810_SGB52752,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB44306_SGB61712,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Comamonas_badia,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB61448_SGB83524,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB53648_SGB74779,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Cuspidothrix_issatschenkoi,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB66002_SGB89410,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB53647_SGB74778,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB74567_SGB78399,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Candidatus_Nitrosocosmicus_oleophilus,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB92586_SGB133387,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB63428_SGB85736,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB6264_SGB8922,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB63474_SGB85783,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Haematospirillum_sp_H1815,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Nocardioides_ungokensis,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Synechococcus_sp_CBW1004,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Thioploca_ingrica,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Terrabacter_SGB130247,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Sulfitobacter_litoralis,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Streptomyces_antimycoticus,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Sphingopyxis_terrae,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Liquorilactobacillus_hordei,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Nitrososphaera_sp_AFS,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Priestia_megaterium,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Phormidium_sp_FACHB_1136,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Sandarakinorhabdus_limnophila,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB91756_SGB134018,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Bacillus_infantis,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Malikia_granosa,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Achromobacter_sp_JUb104,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Flavobacterium_difficile,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB66002_SGB89409,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB65182_SGB88144,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB49350_SGB69252,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB7511_SGB10952,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB73317_SGB83926,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB64314_SGB86769,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Chryseobacterium_candidae,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB93874_SGB128178,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB90062_SGB126913,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB92434_SGB133094,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB92602_SGB133320,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Pseudomonas_mandelii,15.706584141958842,1.2464998528456109e-08,2.4315841546348835,60,6.413026829122935e-08,True
