,Richness,Shannon,Evenness,Total_Reads
MB-9008,7,1.6751115334354982,0.8608370402537563,0.9999999999999996
MB-2919,7,1.6457787572002718,0.8457629751704773,0.9999999999999997
MB-8355,8,2.003153528000617,0.963313220270667,0.9999999999999996
MB-2168,4,1.2110175950442135,0.873564539242247,0.9999999999999998
MB-2386,6,1.7320226735516977,0.9666602594469872,0.9999999999999999
MB-7258,6,1.4118694976023691,0.7879793698421563,0.9999999999999998
MB-8898,4,1.298917072616811,0.9369706094261712,0.9999999999999999
MB-9833,5,1.4681346596772298,0.9122033525818928,0.9999999999999998
MB-2766,2,0.6880173487152031,0.9925992163209872,1.0
MB-6938,5,1.2422800625314188,0.7718720012617514,1.0
MB-7677,6,1.6636924227050938,0.9285244203381325,0.9999999999999998
MB-8629,6,1.7213425100348,0.9606995466954561,0.9999999999999996
MB-2501,7,1.8320071296177467,0.9414654270510083,0.9999999999999999
MB-7497,5,1.5042764387392964,0.9346595025074994,0.9999999999999998
MB-6365,4,1.0640269039746397,0.7675331687299105,1.0
MB-4427,4,1.163839264054321,0.8395325671701162,1.0
MB-2369,9,2.120724134677711,0.9651831480701459,0.9999999999999998
MB-5299,4,1.2442116992418395,0.8975090239942621,1.0
MB-4444,6,1.5624113880689754,0.8719983986448678,0.9999999999999998
MB-7799,6,1.6657552909328883,0.9296757290171325,0.9999999999999997
MB-8134,3,1.068265714983918,0.972377357943895,1.0
MB-4569,2,0.5434449696021029,0.7840253620754525,0.9999999999999998
MB-9888,6,1.481152410168173,0.8266468995799556,0.9999999999999999
MB-7310,5,1.4524682071351658,0.9024692383180978,0.9999999999999997
MB-8398,4,1.259338542650015,0.9084207349769338,1.0
MB-9864,4,1.2058479981441543,0.8698354633373643,0.9999999999999999
MB-6341,6,1.6907760733832704,0.9436400935860187,0.9999999999999999
MB-4580,3,1.0447589157690929,0.9509805472126122,0.9999999999999998
MB-2142,4,1.3343959157429834,0.9625631849388591,0.9999999999999998
MB-7565,4,1.2536474920881238,0.9043155097661296,0.9999999999999998
MB-6987,6,1.7745590319515165,0.9904002530825102,0.9999999999999998
MB-5775,5,1.1398716633507133,0.7082420852663602,0.9999999999999998
MB-2596,6,1.714896648287811,0.957102042757516,0.9999999999999996
MB-9953,4,1.2099401241185141,0.8727873082617829,1.0
MB-8658,6,1.5837435841316165,0.8839041239539951,0.9999999999999997
MB-7225,6,1.4789850035994627,0.8254372469420139,0.9999999999999998
MB-1486,3,0.7078878201706958,0.6443472617752285,1.0
MB-1505,9,2.116225329468326,0.9631356535829818,0.9999999999999997
MB-8183,2,0.5187275676147889,0.7483656888304187,0.9999999999999999
MB-5883,5,1.3508603776230708,0.8393367442253014,0.9999999999999997
MB-1098,5,1.564942636481169,0.9723535305067421,1.0
MB-9403,5,1.5748039984138225,0.9784807391770746,0.9999999999999997
MB-2211,5,1.4972420819143093,0.9302888108705202,0.9999999999999998
MB-6671,3,0.8178239751521108,0.7444154624334778,1.0
MB-6868,3,1.0367392144262269,0.9436807004667185,0.9999999999999999
MB-8396,6,1.6212767358724751,0.9048517747865802,0.9999999999999997
MB-3073,2,0.6782892531082263,0.9785645410416318,1.0
MB-2966,2,0.6924319440127864,0.9989681310597481,0.9999999999999998
MB-5143,5,1.020672576499787,0.634179528447478,1.0
MB-3109,1,-1.000000082240371e-09,0.0,1.0
MB-7031,1,-1.000000082240371e-09,0.0,1.0
MB-7558,4,1.2820828130846076,0.9248272580562872,0.9999999999999998
MB-6338,3,1.095791593951576,0.9974324927200379,1.0
MB-9155,5,1.4836278963411005,0.9218298417693592,1.0
MB-4261,5,1.406170282338737,0.8737027202480376,0.9999999999999998
MB-7907,4,1.2914426927567026,0.9315789840481941,1.0
MB-5723,9,2.0347337540794284,0.926047239305561,0.9999999999999998
MB-2553,3,1.077410171601155,0.9807010010605659,1.0
MB-6356,7,1.7964284087854663,0.9231815813930055,0.9999999999999997
MB-8934,1,-1.000000082240371e-09,0.0,1.0
MB-9669,3,1.0579637970147735,0.9630001481017328,1.0
MB-7022,4,1.3588723482741223,0.9802191988513387,0.9999999999999998
MB-2994,3,1.0705993607179916,0.9745015338314545,0.9999999999999998
MB-7364,5,1.4874972551811552,0.9242340095907335,0.9999999999999998
MB-8906,4,1.2081761297200897,0.871514855276631,1.0
MB-5070,4,1.3468684023538322,0.9715601822277493,1.0
MB-9204,4,1.3186556893648977,0.9512090116718397,1.0
MB-6021,4,1.113474339228556,0.8032019535362296,0.9999999999999999
MB-7403,3,0.97396118368466,0.8865376743326968,1.0
MB-7303,8,2.020725297694388,0.9717634552691077,0.9999999999999998
MB-1073,5,1.4911681482943937,0.9265148637227395,0.9999999999999997
MB-2770,1,-1.000000082240371e-09,0.0,1.0
MB-9157,5,1.531991862920424,0.9518800637752323,1.0
MB-1300,4,1.1163138384370686,0.8052502192492249,1.0
MB-7430,3,0.8967263989154233,0.8162355435969871,0.9999999999999999
MB-4304,2,0.6387491152029592,0.9215201802107861,1.0
MB-1086,6,1.6620524204029403,0.9276091176258173,1.0
MB-2021,6,1.7138728290509897,0.9565306383618316,0.9999999999999997
MB-6194,5,1.3270610291117413,0.8245493775772906,0.9999999999999999
MB-4084,3,0.8111826312157115,0.738370250666881,0.9999999999999998
MB-9244,4,1.0246989922708172,0.7391640771432145,0.9999999999999998
MB-8279,4,1.2707894253810448,0.9166808008403731,1.0
MB-7442,4,1.3001492180495016,0.9378594144787091,0.9999999999999999
MB-8019,5,1.4032496777558123,0.8718880465908572,0.9999999999999998
MB-1146,5,1.2995336947949698,0.8074456831131043,0.9999999999999998
MB-2428,7,1.831851538490827,0.9413854690288027,0.9999999999999996
MB-1137,8,1.9848200629713042,0.9544966872444967,0.9999999999999993
MB-9250,2,0.5860335921407687,0.8454677565659563,1.0
MB-3908,2,0.6740825337062573,0.9724955278263776,1.0
MB-2826,7,1.7473441495514586,0.8979572619380537,0.9999999999999998
MB-6409,7,1.6282174441114008,0.8367382454849328,0.9999999999999997
MB-6025,6,1.559517276364815,0.8703831641484999,1.0
MB-5139,2,0.5715633321067782,0.8245915841896034,1.0
MB-1248,5,1.426542388850471,0.8863606217127743,0.9999999999999998
