species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Rhodoluna_limnophila,6.132577776390244e-30,53.97919776159574,4.304449080692572e-21,101.68570983477078,9.132488953788487,187,0.5426179440143675,1.6944085263656005e-28,True,5.734141096779748e-20,True,29.212356935148822,27.77098187183514,4.574903021187122e-27,True
s__Candidatus_Planktophila_lacus,1.3469688265151908e-29,53.11488815391402,2.696942435461409e-21,102.63907626444404,10.395109855725549,187,0.5386092216726395,3.588709802072616e-28,True,3.869075109335021e-20,True,28.870642455226605,27.445061659096154,1.0048387445803323e-26,True
s__GGB26682_SGB64469,6.283571524809981e-29,51.44445141621905,7.29370239446648e-19,91.20757457365643,9.930592410090952,187,0.5306590595406915,1.616394606037326e-27,True,2.603398079555978e-18,True,28.201793437055844,26.79145260748213,4.6875443575082454e-26,True
s__GGB46525_SGB64386,2.540967732589514e-27,47.54420343402841,3.563758916061888e-21,102.0707905095167,12.281768343966297,187,0.5109851197526659,6.318539761705925e-26,True,4.833753002513034e-20,True,26.59500084996234,25.199383277209336,1.8955619285117774e-24,True
s__Polynucleobacter_difficilis,6.224844390377023e-26,44.29655086995727,2.24675141777589e-18,88.90748290546001,11.335616958928812,187,0.4932990236351864,1.4979786823294384e-24,True,7.653317614889563e-18,True,25.20587150065717,23.824494367018772,4.643733915221259e-23,True
s__GGB47467_SGB65430,1.7639606910465665e-25,43.263108453083625,1.7182157678024138e-19,94.16142289204834,9.572415315406662,187,0.48739965518389483,4.1122333610023084e-24,True,9.026682836483104e-19,True,24.75351109712471,23.385922247971948,1.3159146755207387e-22,True
s__Aquirufa_antheringensis,1.934975379489506e-25,43.171864141819626,9.627815516925983e-19,90.6400699941283,13.724249584820702,187,0.48687218386174425,4.374217069997489e-24,True,3.3562384932835435e-18,True,24.713324556546812,23.359099668952034,1.4434916330991715e-22,True
s__Pleurocapsa_sp_CCALA_161,3.738920543916896e-25,42.524976565818406,1.5124047966629298e-16,80.28951406234707,7.336870484828155,187,0.4831012540403402,7.969242073605727e-24,True,4.2256703307511073e-16,True,24.42725376397258,23.098582980850185,2.7892347257620045e-22,True
s__Polynucleobacter_sp_AP_Ainpum_60_G11,3.634943499370658e-25,42.552579408633136,1.6421794020414258e-21,103.65050404795853,12.189991558225646,187,0.4832632921649659,7.969242073605727e-24,True,2.8570956950950003e-20,True,24.439502335314504,23.098582980850185,2.711667850530511e-22,True
s__Aquirufa_lenticrescens,7.7775007427059785e-25,41.8110845568859,6.368273682372639e-23,110.27180865425677,10.283898149687632,187,0.4788748733231539,1.6116709872385168e-23,True,5.547299966327387e-21,True,24.109159938746664,22.792723612041286,5.80201555405866e-22,True
s__Polynucleobacter_sp_AM_7D1,8.408001195346487e-25,41.73544301379731,5.930180463824628e-21,101.03225443292592,9.088744152828554,187,0.4784230075749871,1.6952348356022916e-23,True,7.498160383073173e-20,True,24.075307235237148,22.770770131831473,6.272368891728479e-22,True
s__Polynucleobacter_sp_78F_HAINBA,2.4437033376320428e-24,40.706508143138144,3.7195451751898887e-13,64.24029313541425,10.289821434245992,187,0.472197621965486,4.797375499667116e-23,True,6.349612587395097e-13,True,23.611951518007842,22.318996287151982,1.8230026898735038e-21,True
s__Aeromonas_sobria,4.915423214869202e-24,40.038945839711445,1.3970970141594e-13,66.25873585934822,8.047743789965992,187,0.46807855119864417,9.402322354595961e-23,True,2.4580999352898873e-13,True,23.308439083738335,22.026764863292165,3.666905718292425e-21,True
s__Pseudomonas_aeruginosa,6.4172217203716595e-24,39.78560847752488,2.415960890508459e-15,74.60437256053135,7.255148363269029,187,0.4664985006000102,1.1968118508493145e-22,True,5.928640869471416e-15,True,23.192652955212402,21.9219741190677,4.787247403397258e-21,True
s__GGB46331_SGB64109,5.373692663385343e-23,37.79220451127385,9.26025648440736e-21,100.12317542574552,10.105845609512308,187,0.45373039089340683,9.77749933386699e-22,True,8.52853834998553e-20,True,22.26972717571689,21.00977220496396,4.008774726885466e-20,True
s__Jeotgalibaca_porci,5.773752561870411e-23,37.7256454706373,4.056287052610292e-15,73.54004826899252,8.121289988362635,187,0.45329351616680724,1.0255284312274586e-21,True,9.672339674160839e-15,True,22.23854183204465,20.98905229496988,4.3072194111553264e-20,True
