species,p_value_original,f_statistic_original,p_value_kw,kw_statistic,effect_size_original,n_samples_original,r_squared,p_adjusted_original,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf,significant_original,f_statistic_balanced,p_value_balanced,effect_size_balanced,n_samples_balanced,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Candidatus_Fonsibacter_ubiquis,4.0690926128758117e-82,366.8415620294928,4.8175395295322416e-24,111.6611203889589,11.910092040843695,209,0.8429750105957732,1.5381170076670572e-80,True,4.1387044140072434e-23,True,81.39050242545682,79.8130106256196,2.3071755115005852e-79,True,True,147.13946275260062,5.924695706054195e-23,11.764518141709724,48,2.0995640408329553e-21,True,81.39050242545682,22.227333950225063
s__Candidatus_Planktophila_vernalis,1.2594258464583607e-81,362.0668304195012,4.8175395295322416e-24,111.6611203889589,11.93375136969146,209,0.8412330219916575,4.463090343386816e-80,True,4.1387044140072434e-23,True,80.89982739817144,79.35036432193445,7.140944549418905e-79,True,True,142.09076093005226,1.1881507261022685e-22,11.788177470557487,48,3.545691903684138e-21,True,80.89982739817144,21.925128462248516
s__GGB46527_SGB64388,3.1050355156077314e-81,358.29094927798366,4.8175395295322416e-24,111.6611203889589,11.706538342170404,209,0.839827838877166,1.035620669029167e-79,True,4.1387044140072434e-23,True,80.50793342796912,78.98479929045449,1.7605551373495835e-78,True,True,145.85504772181625,7.057436504944365e-23,11.560964443036433,48,2.3538626460608557e-21,True,80.50793342796912,22.151353020467806
s__Limnohabitans_sp_2KL_27,1.687075690225065e-80,351.2976137022467,4.8175395295322416e-24,111.6611203889589,11.599150474301233,209,0.8371584988760625,5.3142884242089546e-79,True,4.1387044140072434e-23,True,79.77286543246146,78.27455487867185,9.565719163576118e-78,True,True,142.79398784363818,1.076962334509286e-22,11.45357657516726,48,3.392431353704251e-21,True,79.77286543246146,21.967799485375018
s__GGB34754_SGB82226,6.974227034779391e-79,336.31988359788176,4.8175395295322416e-24,111.6611203889589,11.704622882645127,209,0.8311311254323998,2.0812561730104814e-77,True,4.1387044140072434e-23,True,78.15650391896936,76.68167446102929,3.954386728719915e-76,True,True,126.59079751564171,1.16757406921554e-21,11.559048983511156,48,3.152449986881958e-20,True,78.15650391896936,20.93271555887215
s__Polynucleobacter_sp_MWH_Jannik1A5,2.0984184971336963e-78,331.9901920650713,4.8175395295322416e-24,111.6611203889589,11.530270372029031,209,0.8293047273069263,5.9490164393740296e-77,True,4.1387044140072434e-23,True,77.678107894183,76.22555483095408,1.189803287874806e-75,True,True,127.53347587750166,1.0090050909619635e-21,11.38469647289506,48,2.860529432877167e-20,True,77.678107894183,20.99610664251323
s__Sphingorhabdus_rigui,2.80828848984682e-78,330.852622620624,6.406731133632233e-23,106.43873502576184,13.64200012011162,209,0.828818293043318,7.582378922586414e-77,True,4.717683834765554e-22,True,77.55155828004901,76.12019451589002,1.5922995737431468e-75,True,True,96.86984818222821,2.0791366227720175e-19,13.496426220977648,48,3.802807951973335e-18,True,77.55155828004901,18.68211697167552
s__GGB25723_SGB106723,4.2916762035222536e-77,320.36307179214486,4.8175395295322416e-24,111.6611203889589,11.39013780337448,209,0.8241986999821259,1.1060820033623262e-75,True,4.1387044140072434e-23,True,76.36737305192702,74.95621267385631,2.4333804073971183e-74,True,True,121.44747488206177,2.634857514012861e-21,11.244563904240508,48,6.790746411114965e-20,True,76.36737305192702,20.579242865290563
s__Polynucleobacter_asymbioticus,3.345910040277966e-75,304.17293661701405,4.8175395295322416e-24,111.6611203889589,10.893691328630393,209,0.8165578975558136,8.248395621033074e-74,True,4.1387044140072434e-23,True,74.47548573986379,73.08363051698848,1.897130992837607e-72,True,True,120.72107096452582,2.9631209494000507e-21,10.74811742949642,48,7.304737296999255e-20,True,74.47548573986379,20.528250621019115
s__Limnohabitans_sp_Hippo3,7.647665388217181e-75,301.17751178664867,4.8175395295322416e-24,111.6611203889589,10.89773617617401,209,0.8150708315174209,1.806760947966309e-73,True,4.1387044140072434e-23,True,74.11647112220031,72.743099305019,4.3362262751191423e-72,True,True,117.92589958564082,4.683202118937745e-21,10.752162277040037,48,1.1064065005990422e-19,True,74.11647112220031,20.329457098411574
