species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__GGB7903_SGB11757,3.6285354368598686,0.010758214347766066,2.7211473005069466,60,0.013403312503518465,True
s__GGB15004_SGB62020,3.6226128974816167,0.010847582431820149,3.0824847133986575,60,0.013486788054407318,True
s__Phocaeicola_vulgatus,3.6046894454608918,0.011122669688948907,7.143937487608716,60,0.01380034942888105,True
s__GGB5886_SGB8489,3.5944029850379553,0.011283741609752459,2.8392612924540197,60,0.013971450083533331,True
s__GGB46017_SGB63756,3.5722311557641153,0.011639043162132125,2.846113446827844,60,0.014381850464683753,True
s__Romboutsia_timonensis,3.5496237410795044,0.012013054508436935,4.826490292289629,60,0.014813643903041865,True
s__GGB45937_SGB63667,3.5447738759087013,0.012094869406767737,3.747580607250157,60,0.014884094392410094,True
s__Phocaeicola_dorei,3.5403954603473933,0.01216921792428438,6.46274657538818,60,0.01494508840803153,True
s__GGB46509_SGB64370,3.519143572598071,0.012536748052980572,6.5725919195973885,60,0.01536516072347009,True
s__GGB40024_SGB62250,3.5087095248750275,0.01272130639703018,2.7569378947627317,60,0.015559731759450707,True
s__Acidovorax_sp_BoFeN1,3.448285583901996,0.013845754089102314,5.7042261218727015,60,0.016900788898236225,True
s__Aliarcobacter_butzleri,3.445493672265629,0.013900086493280148,4.929083480983703,60,0.016932832637268545,True
s__Segatella_copri,3.436350308420383,0.014079543399790057,6.0286228827823045,60,0.017116864254180252,True
s__Sediminibacterium_sp_C3,3.406759026528161,0.01467663059550173,3.2983852455667604,60,0.017806857644039324,True
s__Polaromonas_sp_AER18D_145,3.4051627172168386,0.01470956233420876,3.2222471602911127,60,0.017810976079373257,True
s__GGB41707_SGB58791,3.3886510846200792,0.01505463035547092,3.5256064586154765,60,0.01819226874619031,True
s__Nitrosomonas_oligotropha,3.3841161276939182,0.01515083502627642,4.6051891752339165,60,0.01827190704168936,True
s__GGB67138_SGB90854,3.3432243545798292,0.016047003883746688,5.098207454360466,60,0.019314058566665175,True
s__GGB43049_SGB60289,3.338795400738525,0.016147242139539504,4.741596045440142,60,0.019395990060044464,True
s__Acinetobacter_johnsonii,3.3229975959128772,0.016509989597214884,7.934009159010995,60,0.01977407819198098,True
s__Pseudomonas_extremaustralis,3.32224017221145,0.016527587742551267,4.362367436354506,60,0.01977407819198098,True
s__Hylemonella_gracilis,3.265083020245978,0.017912003872019484,3.693629958354341,60,0.021387996702629204,True
s__Bacteroides_ovatus,3.2538249428317765,0.018198256536608268,5.250485590833839,60,0.0216868551216893,True
s__GGB43386_SGB60698,3.222602757204627,0.019016625097409545,3.529676926806199,60,0.022617406180942715,True
s__Vibrio_parahaemolyticus,3.183635508088045,0.020090533268028923,3.2157800267574586,60,0.023847621182325668,True
s__Ornithinibacter_SGB87564,3.154277258209585,0.020940026061364303,4.853658458837048,60,0.024765846919861233,True
s__Fusicatenibacter_saccharivorans,3.154067021580944,0.02094623868843985,4.676414283698186,60,0.024765846919861233,True
s__GGB6301_SGB60981,3.1429777401209154,0.02127659219174061,4.1829580401485345,60,0.025107211529588235,True
s__Lactobacillus_gasseri,3.1157166244246324,0.02211130103872343,3.1565134634612786,60,0.02604123930927779,True
s__GGB75172_SGB103645,3.1054991573999224,0.022432618167946363,4.349456131580232,60,0.026368165214954498,True
