species,n_cohorts_original,pooled_effect_original,pooled_se_original,z_score_original,p_value_original,Q_statistic_original,Q_pvalue_original,I2_heterogeneity_original,min_effect_original,max_effect_original,p_adjusted_original,significant_original,n_cohorts_balanced,pooled_effect_balanced,pooled_se_balanced,z_score_balanced,p_value_balanced,Q_statistic_balanced,Q_pvalue_balanced,I2_heterogeneity_balanced,min_effect_balanced,max_effect_balanced,effect_range,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Acinetobacter_towneri,4,0.9101036460495676,0.1095274630581008,8.30936479891611,0.0,11.41968882078335,0.0096600265828202,73.7295818907068,-0.6141304690902469,1.0058378225159004,0.0,True,4,-0.5903480658308546,0.20821521752855046,-2.8352781935830706,0.00457857965334707,5.978435987839733,0.11266408740737877,49.81965172660434,-1.4366552286101655,2.00069630428656,3.4373515328967255,0.007881763371192653,True,320.000004834948,2.339269226009646
s__Aeromonas_caviae,4,-1.1618538944207797,0.111010752141114,-10.466138387602856,0.0,14.34474155209003,0.002471549319017,79.08641303082314,-1.2618143056596196,2.4407481652666214,0.0,True,4,-2.986751180821988,0.21653340831271028,-13.793488977500516,0.0,23.096540760001762,3.855445549372227e-05,87.01104190807935,-3.2376994295697825,3.0787958311667074,6.31649526073649,0.0,True,320.000004834948,320.000004834948
s__Trichococcus_flocculiformis,4,-1.575388430713294,0.1120970469045398,-14.05379065922112,0.0,26.13317647389605,8.944255056375638e-06,88.52033925919169,-1.716807268956143,1.1535861440173507,0.0,True,4,-1.22636659506775,0.5942305543095129,-2.0637891912050366,0.03903770833967557,9.788446629829995,0.020452723306000342,69.3516232610638,-2.699027367840064,2.449939934304992,5.148967302145056,0.05872748067212139,False,320.000004834948,1.4085156849767941
s__Arcobacter_ellisii,4,1.1097836807871355,0.1038559819933145,10.685794496253235,0.0,22.005993058930585,6.50440927133511e-05,86.36735005793103,-0.9275696151453174,1.3288501496593517,0.0,True,4,-0.2026504656818824,0.19370126129666645,-1.046201064078306,0.2954682117397389,5.444117042175692,0.1420195062804106,44.894645417081676,-0.942283213414324,1.7617348555905807,2.7040180690049045,0.356972143297378,False,320.000004834948,0.5294892363009387
s__Gemmiger_SGB15295,4,1.0570630002374657,0.1111479889443278,9.51041049214962,0.0,20.14914504462996,0.0001580798629016,85.11103079880034,-2.1327958922027195,1.186800448477705,0.0,True,4,-0.2535918125468985,0.20684423681264072,-1.226003762321895,0.2201972592171626,1.9458941696468357,0.5837121648029036,0.0,-0.9390848163002877,0.907077984360567,1.8461628006608546,0.27254963352671857,False,320.000004834948,0.6571880909694904
s__GGB44385_SGB103154,4,1.4550087629525637,0.1128365254364978,12.894838416230863,0.0,16.597882138895137,0.0008548926136583,81.92540485047871,-0.500739786903162,1.5710570879444368,0.0,True,4,-0.18421538323051964,0.49277888446360835,-0.37382970139038885,0.7085310204670332,1.9161026186298553,0.5900011698374708,0.0,-1.0516831642277884,1.1323866973941965,2.184069861621985,0.7472863290559816,False,320.000004834948,0.1496411309878087
s__Bifidobacterium_pseudocatenulatum,4,1.1635776136504414,0.1086917019521153,10.705303098143236,0.0,39.76797346178288,1.1932647980827936e-08,92.45624119397732,-0.8818641976214474,1.412668239725135,0.0,True,4,-0.6813478656535799,0.20136693201787795,-3.3836134802564692,0.0007153863692919149,4.647171240396628,0.1995326465175269,35.44459963252925,-1.1121213060926243,2.207439726463449,3.319561032556073,0.0013565494287455957,True,320.000004834948,3.145459338995131
s__GGB75638_SGB102999,4,1.1924487061808244,0.1109944303644309,10.743320203235664,0.0,25.20977486262753,1.3957063379810286e-05,88.09985405919916,-0.928183462472054,2.375949334156197,0.0,True,4,-1.3243563089482513,0.2150930323380427,-6.1571325419173855,7.407385815838552e-10,6.598659476874607,0.08585177573808078,54.536220416985024,-1.4501074402163558,2.252143907860381,3.7022513480767367,2.5149977928084254e-09,True,320.000004834948,9.130335034405244
s__Raoultella_ornithinolytica,4,1.1660989893894256,0.1094462647215832,10.65453437224035,0.0,17.196971064169443,0.0006437835496184,82.55506746620853,-0.7303365250013993,1.3280905022628064,0.0,True,4,-0.814469305205652,0.21292232314984605,-3.8251945270785987,0.00013066886770829456,4.98904385892678,0.17260116696015382,39.8682375856013,-0.9298281084115787,1.7591354819644227,2.6889635903760016,0.0002744365705658313,True,320.000004834948,3.883827872197808
s__Macellibacteroides_fermentans,4,-1.4072375837756743,0.1114058978720036,-12.631625530207351,0.0,72.8731892672662,9.992007221626409e-16,95.88325963202004,-1.6559661760359226,3.172313794332999,0.0,True,4,1.4907077560436703,0.25197181095256227,5.9161687587518275,3.295271167047531e-09,162.31686003163938,0.0,98.15176316285614,-2.7911182002851516,4.024510910627132,6.815629110912283,1.0522817592913864e-08,True,320.000004834948,8.48210884161419
